Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMC72CV2,Classic Set,CMC72CV2,CLASSIC MRKR 72PC SET C,EA,4511338063392,USD,1
N/A,Copic Acrea,N/A,Copic acrea 002 Rich Black,EA,4511338064054,USD,6
N/A,Copic Acrea,N/A,Copic acrea 001 Snow White,EA,4511338064061,USD,6
N/A,Copic Acrea,N/A,Copic acrea 003 Cool Gray,EA,4511338064078,USD,6
N/A,Copic Acrea,N/A,Copic acrea 004 Sepia,EA,4511338064085,USD,6
N/A,Copic Acrea,N/A,Copic acrea 005 Gold,EA,4511338064092,USD,6
N/A,Copic Acrea,N/A,Copic acrea 006 Silver,EA,4511338064108,USD,6
N/A,Copic Acrea,N/A,Copic acrea 008 Tomato Red,EA,4511338064115,USD,6
N/A,Copic Acrea,N/A,Copic acrea 007 Flamingo Pink,EA,4511338064122,USD,6
N/A,Copic Acrea,N/A,Copic acrea 009 Mandarin Orange,EA,4511338064139,USD,6
N/A,Copic Acrea,N/A,Copic acrea 010 Lemon Yellow,EA,4511338064146,USD,6
N/A,Copic Acrea,N/A,Copic acrea 012 Sky Blue,EA,4511338064153,USD,6
N/A,Copic Acrea,N/A,Copic acrea 011 Leaf Green,EA,4511338064160,USD,6
N/A,Copic Acrea,N/A,Copic acrea 016 Cream Yellow,EA,4511338064177,USD,6
N/A,Copic Acrea,N/A,Copic acrea 015 Custard Beige,EA,4511338064184,USD,6
N/A,Copic Acrea,N/A,Copic acrea 014 Coral Pink,EA,4511338064191,USD,6
N/A,Copic Acrea,N/A,Copic acrea 013 Lilac,EA,4511338064207,USD,6
N/A,Copic Acrea,N/A,Copic acrea 018 Turquoise Blue,EA,4511338064214,USD,6
N/A,Copic Acrea,N/A,Copic acrea 017 Apple Green,EA,4511338064221,USD,6
N/A,Copic Acrea,N/A,Copic acrea 021 Red Bean,EA,4511338064238,USD,6
N/A,Copic Acrea,N/A,Copic acrea 020 Dark Rose,EA,4511338064245,USD,6
N/A,Copic Acrea,N/A,Copic acrea 019 Pansy,EA,4511338064252,USD,6
N/A,Copic Acrea,N/A,Copic acrea 022 Mustard Yellow,EA,4511338064269,USD,6
N/A,Copic Acrea,N/A,Copic acrea 023 Peacock Green,EA,4511338064276,USD,6
N/A,Copic Acrea,N/A,Copic acrea 024 Indigo Blue,EA,4511338064283,USD,6
N/A,Copic Acrea Set,N/A,Copic Acrea ESSEN 6 PC SET,EA,4511338064658,USD,1
N/A,Copic Acrea Set,N/A,Copic Acrea VIVID 6PC SET,EA,4511338064665,USD,1
N/A,Copic Acrea Set,N/A,Copic Acrea LIGHT 6 PC SET,EA,4511338064672,USD,1
N/A,Copic Acrea Set,N/A,Copic Acrea DEEP 6 PC SET,EA,4511338064689,USD,1
CMBV00-I,Copic Ciao,CMBV00-I,CIAO MRKR MAUVE SHADOW,EA,4511338007525,USD,3
CMBV02-I,Copic Ciao,CMBV02-I,CIAO MRKR PRUNE,EA,4511338007532,USD,3
CMBV04-I,Copic Ciao,CMBV04-I,CIAO MRKR BLUEBERRY,EA,4511338007549,USD,3
CMBV08-I,Copic Ciao,CMBV08-I,CIAO MRKR BLUE VIOLET,EA,4511338007556,USD,3
CMV12-I,Copic Ciao,CMV12-I,CIAO MRKR PALE LILAC,EA,4511338007563,USD,3
CMV04-I,Copic Ciao,CMV04-I,CIAO MRKR LILAC,EA,4511338007570,USD,3
CMV17-I,Copic Ciao,CMV17-I,CIAO MRKR AMETHYST,EA,4511338007587,USD,3
CMV09-I,Copic Ciao,CMV09-I,CIAO MRKR VIOLET,EA,4511338007594,USD,3
CMRV10-I,Copic Ciao,CMRV10-I,CIAO MRKR PALE PINK,EA,4511338007600,USD,3
CMRV21-I,Copic Ciao,CMRV21-I,CIAO MRKR LIGHT PINK,EA,4511338007617,USD,3
CMRV02-I,Copic Ciao,CMRV02-I,CIAO MRKR SUGAR ALMOND PNK,EA,4511338007624,USD,3
CMRV42-I,Copic Ciao,CMRV42-I,CIAO MRKR SALMON PINK,EA,4511338007631,USD,3
CMRV23-I,Copic Ciao,CMRV23-I,CIAO MRKR PURE PINK,EA,4511338007648,USD,3
CMRV04-I,Copic Ciao,CMRV04-I,CIAO MRKR SHOCK  PINK,EA,4511338007655,USD,3
CMRV29-I,Copic Ciao,CMRV29-I,CIAO MRKR CRIMSON,EA,4511338007662,USD,3
CMR20-I,Copic Ciao,CMR20-I,CIAO MRKR BLUSH,EA,4511338007679,USD,3
CMR02-I,Copic Ciao,CMR02-I,CIAO MRKR ROSE SALMON,EA,4511338007686,USD,3
CMR32-I,Copic Ciao,CMR32-I,CIAO MRKR PEACH,EA,4511338007693,USD,3
CMR27-I,Copic Ciao,CMR27-I,CIAO MRKR CADMIUM RED,EA,4511338007709,USD,3
CMR29-I,Copic Ciao,CMR29-I,CIAO MRKR LIPSTICK RED,EA,4511338007716,USD,3
CMR59-I,Copic Ciao,CMR59-I,CIAO MRKR CARDINAL,EA,4511338007723,USD,3
CMYR02-I,Copic Ciao,CMYR02-I,CIAO MRKR LIGHT ORANGE,EA,4511338007730,USD,3
CMYR00-I,Copic Ciao,CMYR00-I,CIAO MRKR POWDER PINK,EA,4511338007747,USD,3
CMYR20-I,Copic Ciao,CMYR20-I,CIAO MRKR YELLOWISH SHADE,EA,4511338007754,USD,3
CMYR04-I,Copic Ciao,CMYR04-I,CIAO MRKR CHROME ORANGE,EA,4511338007761,USD,3
CMYR07-I,Copic Ciao,CMYR07-I,CIAO MRKR CADMIUM ORANGE,EA,4511338007778,USD,3
CMY00-I,Copic Ciao,CMY00-I,CIAO MRKR BARIUM YELLOW,EA,4511338007785,USD,3
CMY02-I,Copic Ciao,CMY02-I,CIAO MRKR CANARY YELLOW,EA,4511338007792,USD,3
