Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMW0-I,Copic Ciao,CMW0-I,CIAO MRKR WARM GRAY W0,EA,4511338051481,USD,3
CMW2-I,Copic Ciao,CMW2-I,CIAO MRKR WARM GRAY W2,EA,4511338051498,USD,3
CMY000-I,Copic Ciao,CMY000-I,CIAO MRKR PALE LEMON,EA,4511338051504,USD,3
CMY35-I,Copic Ciao,CMY35-I,CIAO MRKR MAIZE,EA,4511338051511,USD,3
CMYG09-I,Copic Ciao,CMYG09-I,CIAO MRKR LETTUCE GREEN,EA,4511338051528,USD,3
CMYG17-I,Copic Ciao,CMYG17-I,CIAO MRKR GRASS GREEN,EA,4511338051535,USD,3
CMYR000-I,Copic Ciao,CMYR000-I,CIAO MRKR SILK,EA,4511338051542,USD,3
CMYR15-I,Copic Ciao,CMYR15-I,CIAO MRKR PUMPKIN YELLOW,EA,4511338051559,USD,3
CMC0-C,Copic Classic,CMC0-C,COPIC MRKR COOL GRAY,EA,4511338000014,USD,3
CMC1-C,Copic Classic,CMC1-C,COPIC MRKR COOL GRAY 1,EA,4511338000021,USD,3
CMC2-C,Copic Classic,CMC2-C,COPIC MRKR COOL GRAY 2,EA,4511338000038,USD,3
CMC3-C,Copic Classic,CMC3-C,COPIC MRKR COOL GRAY 3,EA,4511338000045,USD,3
CMC4-C,Copic Classic,CMC4-C,COPIC MRKR COOL GRAY 4,EA,4511338000052,USD,3
CMC5-C,Copic Classic,CMC5-C,COPIC MRKR COOL GRAY 5,EA,4511338000069,USD,3
CMC6-C,Copic Classic,CMC6-C,COPIC MRKR COOL GRAY 6,EA,4511338000076,USD,3
CMC7-C,Copic Classic,CMC7-C,COPIC MRKR COOL GRAY 7,EA,4511338000083,USD,3
CMC8-C,Copic Classic,CMC8-C,COPIC MRKR COOL GRAY 8,EA,4511338000090,USD,3
CMC9-C,Copic Classic,CMC9-C,COPIC MRKR COOL GRAY 9,EA,4511338000106,USD,3
CMC10-C,Copic Classic,CMC10-C,COPIC MRKR COOL GRAY 10,EA,4511338000113,USD,3
CMN0-C,Copic Classic,CMN0-C,COPIC MRKR NEUTRAL GRAY 0,EA,4511338000120,USD,3
CMN1-C,Copic Classic,CMN1-C,COPIC MRKR NEUTRAL GRAY 1,EA,4511338000137,USD,3
CMN2-C,Copic Classic,CMN2-C,COPIC MRKR NEUTRAL GRAY 2,EA,4511338000144,USD,3
CMN3-C,Copic Classic,CMN3-C,COPIC MRKR NEUTRAL GRAY 3,EA,4511338000151,USD,3
CMN4-C,Copic Classic,CMN4-C,COPIC MRKR NEUTRAL GRAY 4,EA,4511338000168,USD,3
CMN5-C,Copic Classic,CMN5-C,COPIC MRKR NEUTRAL GRAY 5,EA,4511338000175,USD,3
CMN6-C,Copic Classic,CMN6-C,COPIC MRKR NEUTRAL GRAY 6,EA,4511338000182,USD,3
CMN7-C,Copic Classic,CMN7-C,COPIC MRKR NEUTRAL GRAY 7,EA,4511338000199,USD,3
CMN8-C,Copic Classic,CMN8-C,COPIC MRKR NEUTRAL GRAY 8,EA,4511338000205,USD,3
CMN9-C,Copic Classic,CMN9-C,COPIC MRKR NEUTRAL GRAY 9,EA,4511338000212,USD,3
CMN10-C,Copic Classic,CMN10-C,COPIC MRKR NEUTRAL GRAY 10,EA,4511338000229,USD,3
CMT0-C,Copic Classic,CMT0-C,COPIC MRKR TONER GRAY 0,EA,4511338000236,USD,3
CMT1-C,Copic Classic,CMT1-C,COPIC MRKR TONER GRAY 1,EA,4511338000243,USD,3
CMT2-C,Copic Classic,CMT2-C,COPIC MRKR TONER GRAY 2,EA,4511338000250,USD,3
CMT3-C,Copic Classic,CMT3-C,COPIC MRKR TONER GRAY 3,EA,4511338000267,USD,3
CMT4-C,Copic Classic,CMT4-C,COPIC MRKR TONER GRAY 4,EA,4511338000274,USD,3
CMT5-C,Copic Classic,CMT5-C,COPIC MRKR TONER GRAY 5,EA,4511338000281,USD,3
CMT6-C,Copic Classic,CMT6-C,COPIC MRKR TONER GRAY 6,EA,4511338000298,USD,3
CMT7-C,Copic Classic,CMT7-C,COPIC MRKR TONER GRAY 7,EA,4511338000304,USD,3
CMT8-C,Copic Classic,CMT8-C,COPIC MRKR TONER GRAY 8,EA,4511338000311,USD,3
CMT9-C,Copic Classic,CMT9-C,COPIC MRKR TONER GRAY 9,EA,4511338000328,USD,3
CMT10-C,Copic Classic,CMT10-C,COPIC MRKR TONER GRAY 10,EA,4511338000335,USD,3
CMW0-C,Copic Classic,CMW0-C,COPIC MRKR WARM GRAY 0,EA,4511338000342,USD,3
CMW1-C,Copic Classic,CMW1-C,COPIC MRKR WARM GRAY 1,EA,4511338000359,USD,3
CMW2-C,Copic Classic,CMW2-C,COPIC MRKR WARM GRAY 2,EA,4511338000366,USD,3
CMW3-C,Copic Classic,CMW3-C,COPIC MRKR WARM GRAY 3,EA,4511338000373,USD,3
CMW4-C,Copic Classic,CMW4-C,COPIC MRKR WARM GRAY 4,EA,4511338000380,USD,3
CMW5-C,Copic Classic,CMW5-C,COPIC MRKR WARM GRAY 5,EA,4511338000397,USD,3
CMW6-C,Copic Classic,CMW6-C,COPIC MRKR WARM GRAY 6,EA,4511338000403,USD,3
CMW7-C,Copic Classic,CMW7-C,COPIC MRKR WARM GRAY 7,EA,4511338000410,USD,3
CMW8-C,Copic Classic,CMW8-C,COPIC MRKR WARM GRAY 8,EA,4511338000427,USD,3
CMW9-C,Copic Classic,CMW9-C,COPIC MRKR WARM GRAY 9,EA,4511338000434,USD,3
CMW10-C,Copic Classic,CMW10-C,COPIC MRKR WARM GRAY 10,EA,4511338000441,USD,3
CM0-C,Copic Classic,CM0-C,COPIC COLORLESS BLENDER,EA,4511338000458,USD,3
CM100-C,Copic Classic,CM100-C,COPIC MRKR BLACK,EA,4511338000465,USD,3
CM110-C,Copic Classic,CM110-C,COPIC MRKR SPECIAL BLACK,EA,4511338000472,USD,3
CMB00-C,Copic Classic,CMB00-C,COPIC MRKR FROST BLUE,EA,4511338000489,USD,3
CMB01-C,Copic Classic,CMB01-C,COPIC MRKR MINT BLUE,EA,4511338000496,USD,3
CMB02-C,Copic Classic,CMB02-C,COPIC MRKR ROBINS EGG BLUE,EA,4511338000502,USD,3
CMB04-C,Copic Classic,CMB04-C,COPIC MRKR TAHITIAN BLUE,EA,4511338000519,USD,3
CMB05-C,Copic Classic,CMB05-C,COPIC MRKR PROCESS BLUE,EA,4511338000526,USD,3
CMB06-C,Copic Classic,CMB06-C,COPIC MRKR PEACOOK BLUE,EA,4511338000533,USD,3
CMB12-C,Copic Classic,CMB12-C,COPIC MRKR ICE BLUE,EA,4511338000540,USD,3
CMB14-C,Copic Classic,CMB14-C,COPIC MRKR LIGHT BLUE,EA,4511338000557,USD,3
CMB16-C,Copic Classic,CMB16-C,COPIC MRKR CYANINE BLUE,EA,4511338000564,USD,3
CMB18-C,Copic Classic,CMB18-C,COPIC MRKR LAPIS LAZULI,EA,4511338000571,USD,3
CMB21-C,Copic Classic,CMB21-C,COPIC MRKR BABY BLUE,EA,4511338000588,USD,3
CMB23-C,Copic Classic,CMB23-C,COPIC MRKR PHTHALO BLUE,EA,4511338000595,USD,3
CMB24-C,Copic Classic,CMB24-C,COPIC MRKR SKY,EA,4511338000601,USD,3
CMB26-C,Copic Classic,CMB26-C,COPIC MRKR COBALT BLUE,EA,4511338000618,USD,3
CMB29-C,Copic Classic,CMB29-C,COPIC MRKR ULTRAMARINE,EA,4511338000625,USD,3
CMB32-C,Copic Classic,CMB32-C,COPIC MRKR PALE BLUE,EA,4511338000632,USD,3
CMB34-C,Copic Classic,CMB34-C,COPIC MRKR MANGANESE BLUE,EA,4511338000649,USD,3
CMB37-C,Copic Classic,CMB37-C,COPIC MRKR ANTWERP BLUE,EA,4511338000656,USD,3
CMB39-C,Copic Classic,CMB39-C,COPIC MRKR PRUSSIAN BLUE,EA,4511338000663,USD,3
CMB41-C,Copic Classic,CMB41-C,COPIC MRKR POWDER BLUE,EA,4511338000670,USD,3
CMB45-C,Copic Classic,CMB45-C,COPIC MRKR SMOKY BLUE,EA,4511338000687,USD,3
CMBG02-C,Copic Classic,CMBG02-C,COPIC MRKR NEW BLUE,EA,4511338000694,USD,3
CMBG05-C,Copic Classic,CMBG05-C,COPIC MRKR HOLIDAY BLUE,EA,4511338000700,USD,3
CMBG09-C,Copic Classic,CMBG09-C,COPIC MRKR BLUE GREEN,EA,4511338000717,USD,3
CMBG10-C,Copic Classic,CMBG10-C,COPIC MRKR COOL SHADOW,EA,4511338000724,USD,3
CMBG11-C,Copic Classic,CMBG11-C,COPIC MRKR MOON WHITE,EA,4511338000731,USD,3
CMBG13-C,Copic Classic,CMBG13-C,COPIC MRKR MINT GREEN,EA,4511338000748,USD,3
CMBG15-C,Copic Classic,CMBG15-C,COPIC MRKR AQUA,EA,4511338000755,USD,3
CMBG18-C,Copic Classic,CMBG18-C,COPIC MRKR TEAL BLUE,EA,4511338000762,USD,3
CMBG32-C,Copic Classic,CMBG32-C,COPIC MRKR AQUA MINT,EA,4511338000779,USD,3
CMBG34-C,Copic Classic,CMBG34-C,COPIC MRKR HORIZON GREEN,EA,4511338000786,USD,3
CMBG45-C,Copic Classic,CMBG45-C,COPIC MRKR NILE BLUE,EA,4511338000793,USD,3
CMBG49-C,Copic Classic,CMBG49-C,COPIC MRKR DUCK BLUE,EA,4511338000809,USD,3
CMBG99-C,Copic Classic,CMBG99-C,COPIC MRKR FLAGSTONE BLUE,EA,4511338000816,USD,3
CMBV00-C,Copic Classic,CMBV00-C,COPIC MRKR MAUVE SHADOW,EA,4511338000823,USD,3
CMBV04-C,Copic Classic,CMBV04-C,COPIC MRKR BLUE BERRY,EA,4511338000830,USD,3
CMBV08-C,Copic Classic,CMBV08-C,COPIC MRKR BLUE VIOLET,EA,4511338000847,USD,3
CMBV23-C,Copic Classic,CMBV23-C,COPIC MRKR GRAYISH LAVENDER,EA,4511338000854,USD,3
CMBV31-C,Copic Classic,CMBV31-C,COPIC MRKR PALE LAVENDER,EA,4511338000861,USD,3
CME00-C,Copic Classic,CME00-C,COPIC MRKR COTTON PEARL,EA,4511338000878,USD,3
CME02-C,Copic Classic,CME02-C,COPIC MRKR FRUIT PINK,EA,4511338000885,USD,3
CME04-C,Copic Classic,CME04-C,COPIC MRKR LIPSTICK NATURAL,EA,4511338000892,USD,3
CME07-C,Copic Classic,CME07-C,COPIC MRKR LIGHT MAHOGANY,EA,4511338000908,USD,3
CME09-C,Copic Classic,CME09-C,COPIC MRKR BURNT SIENNA,EA,4511338000915,USD,3
CME11-C,Copic Classic,CME11-C,COPIC MRKR BARELEY BEIGE,EA,4511338000922,USD,3
CME13-C,Copic Classic,CME13-C,COPIC MRKR DESERT SAND,EA,4511338000939,USD,3
CME15-C,Copic Classic,CME15-C,COPIC MRKR EARTHENWARE,EA,4511338000946,USD,3
CME19-C,Copic Classic,CME19-C,COPIC MRKR REDWOOD,EA,4511338000953,USD,3
CME21-C,Copic Classic,CME21-C,COPIC MRKR SOFT SUN,EA,4511338000960,USD,3
CME25-C,Copic Classic,CME25-C,COPIC MRKR CARIBE COCOA,EA,4511338000977,USD,3
CME27-C,Copic Classic,CME27-C,COPIC MRKR MILK CHOCOLATE,EA,4511338000984,USD,3
CME29-C,Copic Classic,CME29-C,COPIC MRKR BURNT UMBER,EA,4511338000991,USD,3
CME31-C,Copic Classic,CME31-C,COPIC MRKR BRICK BEIGE,EA,4511338001004,USD,3
CME33-C,Copic Classic,CME33-C,COPIC MRKR SAND,EA,4511338001011,USD,3
CME34-C,Copic Classic,CME34-C,COPIC MRKR TOAST,EA,4511338001028,USD,3
CME35-C,Copic Classic,CME35-C,COPIC MRKR CHAMOIS,EA,4511338001035,USD,3
CME37-C,Copic Classic,CME37-C,COPIC MRKR SEPIA,EA,4511338001042,USD,3
CME39-C,Copic Classic,CME39-C,COPIC MRKR LEATHER,EA,4511338001059,USD,3
CME40-C,Copic Classic,CME40-C,COPIC MRKR BRICK WHITE,EA,4511338001066,USD,3
CME41-C,Copic Classic,CME41-C,COPIC MRKR PEARL WHITE,EA,4511338001073,USD,3
CME43-C,Copic Classic,CME43-C,COPIC MRKR DULL IVORY,EA,4511338001080,USD,3
CME44-C,Copic Classic,CME44-C,COPIC MRKR CLAY,EA,4511338001097,USD,3
CME49-C,Copic Classic,CME49-C,COPIC MRKR DARK BARK,EA,4511338001103,USD,3
CME51-C,Copic Classic,CME51-C,COPIC MRKR MILKY WHITE,EA,4511338001110,USD,3
CME53-C,Copic Classic,CME53-C,COPIC MRKR RAW SILK,EA,4511338001127,USD,3
CME55-C,Copic Classic,CME55-C,COPIC MRKR LIGHT CARMEL,EA,4511338001134,USD,3
CME57-C,Copic Classic,CME57-C,COPIC MRKR LIGHT WALNUT,EA,4511338001141,USD,3
CME59-C,Copic Classic,CME59-C,COPIC MRKR WALNUT,EA,4511338001158,USD,3
CME77-C,Copic Classic,CME77-C,COPIC MRKR MAROON,EA,4511338001165,USD,3
CMG00-C,Copic Classic,CMG00-C,COPIC MRKR JADE GREEN,EA,4511338001172,USD,3
CMG02-C,Copic Classic,CMG02-C,COPIC MRKR SPECTRUM GREEN,EA,4511338001189,USD,3
CMG05-C,Copic Classic,CMG05-C,COPIC MRKR EMERALD GREEN,EA,4511338001196,USD,3
CMG07-C,Copic Classic,CMG07-C,COPIC MRKR NILE GREEN,EA,4511338001202,USD,3
CMG09-C,Copic Classic,CMG09-C,COPIC MRKR VERONESE GREEN,EA,4511338001219,USD,3
CMG12-C,Copic Classic,CMG12-C,COPIC MRKR SEA GREEN,EA,4511338001226,USD,3
CMG14-C,Copic Classic,CMG14-C,COPIC MRKR APPLE GREEN,EA,4511338001233,USD,3
CMG16-C,Copic Classic,CMG16-C,COPIC MRKR MALACHITE,EA,4511338001240,USD,3
CMG17-C,Copic Classic,CMG17-C,COPIC MRKR FOREST GREEN,EA,4511338001257,USD,3
CMG19-C,Copic Classic,CMG19-C,COPIC MRKR BRT PARROT GREEN,EA,4511338001264,USD,3
CMG20-C,Copic Classic,CMG20-C,COPIC MRKR WAX WHITE,EA,4511338001271,USD,3
CMG21-C,Copic Classic,CMG21-C,COPIC MRKR LIME GREEN,EA,4511338001288,USD,3
CMG24-C,Copic Classic,CMG24-C,COPIC MRKR WILLOW,EA,4511338001295,USD,3
CMG28-C,Copic Classic,CMG28-C,COPIC MRKR OCEAN GREEN,EA,4511338001301,USD,3
CMG29-C,Copic Classic,CMG29-C,COPIC MRKR PINE TREE GREEN,EA,4511338001318,USD,3
CMG40-C,Copic Classic,CMG40-C,COPIC MRKR DIM GREEN,EA,4511338001325,USD,3
CMG82-C,Copic Classic,CMG82-C,COPIC MRKR SPRING DIM GREEN,EA,4511338001332,USD,3
CMG85-C,Copic Classic,CMG85-C,COPIC MRKR VERDIGRIS,EA,4511338001349,USD,3
CMG99-C,Copic Classic,CMG99-C,COPIC MRKR OLIVE,EA,4511338001356,USD,3
CMR00-C,Copic Classic,CMR00-C,COPIC MRKR PINKISH WHITE,EA,4511338001363,USD,3
CMR02-C,Copic Classic,CMR02-C,COPIC MRKR ROSE SALMON,EA,4511338001370,USD,3
CMR05-C,Copic Classic,CMR05-C,COPIC MRKR SALMON RED,EA,4511338001387,USD,3
CMR08-C,Copic Classic,CMR08-C,COPIC MRKR VERMILION,EA,4511338001394,USD,3
CMR11-C,Copic Classic,CMR11-C,COPIC MRKR PALE CHERRY PINK,EA,4511338001400,USD,3
CMR17-C,Copic Classic,CMR17-C,COPIC MRKR LIPSTICK ORANGE,EA,4511338001417,USD,3
CMR20-C,Copic Classic,CMR20-C,COPIC MRKR BLUSH,EA,4511338001424,USD,3
CMR24-C,Copic Classic,CMR24-C,COPIC MRKR PRAWN,EA,4511338001431,USD,3
CMR27-C,Copic Classic,CMR27-C,COPIC MRKR CADMIUM RED,EA,4511338001448,USD,3
CMR29-C,Copic Classic,CMR29-C,COPIC MRKR LIPSTICK RED,EA,4511338001455,USD,3
CMR32-C,Copic Classic,CMR32-C,COPIC MRKR PEACH,EA,4511338001462,USD,3
CMR35-C,Copic Classic,CMR35-C,COPIC MRKR CORAL,EA,4511338001479,USD,3
CMR37-C,Copic Classic,CMR37-C,COPIC MRKR CARMINE,EA,4511338001486,USD,3
CMR39-C,Copic Classic,CMR39-C,COPIC MRKR GARNET,EA,4511338001493,USD,3
CMR59-C,Copic Classic,CMR59-C,COPIC MRKR CARDINAL,EA,4511338001509,USD,3
CMRV02-C,Copic Classic,CMRV02-C,COPIC MRKR SUGAR ALMOND PNK,EA,4511338001516,USD,3
CMRV04-C,Copic Classic,CMRV04-C,COPIC MRKR SHOCK PINK,EA,4511338001523,USD,3
CMRV06-C,Copic Classic,CMRV06-C,COPIC MRKR CERISE,EA,4511338001530,USD,3
CMRV09-C,Copic Classic,CMRV09-C,COPIC MRKR FUCHSIA,EA,4511338001547,USD,3
CMRV10-C,Copic Classic,CMRV10-C,COPIC MRKR PALE PINK,EA,4511338001554,USD,3
CMRV11-C,Copic Classic,CMRV11-C,COPIC MRKR PINK,EA,4511338001561,USD,3
CMRV13-C,Copic Classic,CMRV13-C,COPIC MRKR TENDER PINK,EA,4511338001578,USD,3
CMRV14-C,Copic Classic,CMRV14-C,COPIC MRKR BEGONIA PINK,EA,4511338001585,USD,3
CMRV17-C,Copic Classic,CMRV17-C,COPIC MRKR DEEP MAGENTA,EA,4511338001592,USD,3
CMRV19-C,Copic Classic,CMRV19-C,COPIC MRKR RED VIOLET,EA,4511338001608,USD,3
CMRV21-C,Copic Classic,CMRV21-C,COPIC MRKR LIGHT PINK,EA,4511338001615,USD,3
CMRV25-C,Copic Classic,CMRV25-C,COPIC MRKR DOG ROSE FLOWER,EA,4511338001622,USD,3
CMRV29-C,Copic Classic,CMRV29-C,COPIC MRKR CRIMSON,EA,4511338001639,USD,3
CMRV32-C,Copic Classic,CMRV32-C,COPIC MRKR SHADO PINK,EA,4511338001646,USD,3
CMRV34-C,Copic Classic,CMRV34-C,COPIC MRKR DARK PINK,EA,4511338001653,USD,3
CMV04-C,Copic Classic,CMV04-C,COPIC MRKR LILAC,EA,4511338001660,USD,3
CMV06-C,Copic Classic,CMV06-C,COPIC MRKR LAVENDER,EA,4511338001677,USD,3
CMV09-C,Copic Classic,CMV09-C,COPIC MRKR VIOLET,EA,4511338001684,USD,3
CMV12-C,Copic Classic,CMV12-C,COPIC MRKR PALE LILAC,EA,4511338001691,USD,3
CMV15-C,Copic Classic,CMV15-C,COPIC MRKR MALLOW,EA,4511338001707,USD,3
CMV17-C,Copic Classic,CMV17-C,COPIC MRKR AMETHYST,EA,4511338001714,USD,3
CMY00-C,Copic Classic,CMY00-C,COPIC MRKR BARIUM YELLOW,EA,4511338001721,USD,3
CMY02-C,Copic Classic,CMY02-C,COPIC MRKR CANARY YELLOW,EA,4511338001738,USD,3
CMY06-C,Copic Classic,CMY06-C,COPIC MRKR YELLOW,EA,4511338001745,USD,3
CMY08-C,Copic Classic,CMY08-C,COPIC MRKR ACID YELLOW,EA,4511338001752,USD,3
CMY11-C,Copic Classic,CMY11-C,COPIC MRKR PALE YELLOW,EA,4511338001769,USD,3
CMY13-C,Copic Classic,CMY13-C,COPIC MRKR LEMON YELLOW,EA,4511338001776,USD,3
CMY15-C,Copic Classic,CMY15-C,COPIC MRKR CADMIUM YELLOW,EA,4511338001783,USD,3
CMY17-C,Copic Classic,CMY17-C,COPIC MRKR GOLDEN YELLOW,EA,4511338001790,USD,3
CMY19-C,Copic Classic,CMY19-C,COPIC MRKR NAPOLI YELLOW,EA,4511338001806,USD,3
CMY21-C,Copic Classic,CMY21-C,COPIC MRKR BUTTERCUP YELLOW,EA,4511338001813,USD,3
CMY23-C,Copic Classic,CMY23-C,COPIC MRKR YELLOWISH BEIGE,EA,4511338001820,USD,3
CMY26-C,Copic Classic,CMY26-C,COPIC MRKR MUSTARD,EA,4511338001837,USD,3
CMY38-C,Copic Classic,CMY38-C,COPIC MRKR HONEY,EA,4511338001844,USD,3
CMYG01-C,Copic Classic,CMYG01-C,COPIC MRKR GREEN BICE,EA,4511338001851,USD,3
CMYG03-C,Copic Classic,CMYG03-C,COPIC MRKR YELLOW GREEN,EA,4511338001868,USD,3
CMYG05-C,Copic Classic,CMYG05-C,COPIC MRKR SALAD,EA,4511338001875,USD,3
CMYG07-C,Copic Classic,CMYG07-C,COPIC MRKR ACID GREEN,EA,4511338001882,USD,3
CMYG09-C,Copic Classic,CMYG09-C,COPIC MRKR LETTUCE GREEN,EA,4511338001899,USD,3
CMYG11-C,Copic Classic,CMYG11-C,COPIC MRKR MIGNONETTE,EA,4511338001905,USD,3
CMYG13-C,Copic Classic,CMYG13-C,COPIC MRKR CHARTREUSE,EA,4511338001912,USD,3
CMYG17-C,Copic Classic,CMYG17-C,COPIC MRKR GRASS GREEN,EA,4511338001929,USD,3
CMYG21-C,Copic Classic,CMYG21-C,COPIC MRKR ANISE,EA,4511338001936,USD,3
CMYG23-C,Copic Classic,CMYG23-C,COPIC MRKR NEW LEAF,EA,4511338001943,USD,3
CMYG25-C,Copic Classic,CMYG25-C,COPIC MRKR CELADON GREEN,EA,4511338001950,USD,3
CMYG41-C,Copic Classic,CMYG41-C,COPIC MRKR PALE COBLT GREEN,EA,4511338001967,USD,3
CMYG45-C,Copic Classic,CMYG45-C,COPIC MRKR COBALT GREEN,EA,4511338001974,USD,3
CMYG63-C,Copic Classic,CMYG63-C,COPIC MRKR PEA GREEN,EA,4511338001981,USD,3
CMYG67-C,Copic Classic,CMYG67-C,COPIC MRKR MOSS,EA,4511338001998,USD,3
CMYG91-C,Copic Classic,CMYG91-C,COPIC MRKR PUTTY,EA,4511338002001,USD,3
CMYG95-C,Copic Classic,CMYG95-C,COPIC MRKR PALE OLIVE,EA,4511338002018,USD,3
CMYG97-C,Copic Classic,CMYG97-C,COPIC MRKR SPANISH OLIVE,EA,4511338002025,USD,3
CMYG99-C,Copic Classic,CMYG99-C,COPIC MRKR MARINE GREEN,EA,4511338002032,USD,3
CMYR00-C,Copic Classic,CMYR00-C,COPIC MRKR POWDER PINK,EA,4511338002049,USD,3
CMYR02-C,Copic Classic,CMYR02-C,COPIC MRKR LIGHT ORANGE,EA,4511338002056,USD,3
CMYR04-C,Copic Classic,CMYR04-C,COPIC MRKR CHROME ORANGE,EA,4511338002063,USD,3
CMYR07-C,Copic Classic,CMYR07-C,COPIC MRKR CADMIUM ORANGE,EA,4511338002070,USD,3
CMYR09-C,Copic Classic,CMYR09-C,COPIC MRKR CHINESE ORANGE,EA,4511338002087,USD,3
CMYR14-C,Copic Classic,CMYR14-C,COPIC MRKR CARAMEL,EA,4511338002094,USD,3
CMYR16-C,Copic Classic,CMYR16-C,COPIC MRKR APRICOT,EA,4511338002100,USD,3
CMYR18-C,Copic Classic,CMYR18-C,COPIC MRKR SANGUINE,EA,4511338002117,USD,3
CMYR21-C,Copic Classic,CMYR21-C,COPIC MRKR CREAM,EA,4511338002124,USD,3
CMYR23-C,Copic Classic,CMYR23-C,COPIC MRKR YELLOW OCHRE,EA,4511338002131,USD,3
CMYR24-C,Copic Classic,CMYR24-C,COPIC MRKR PALE SEPIA,EA,4511338002148,USD,3
CMIN-C00,Copic Ink,CMIN-C00,INK 12ML C00 COOL GRAY,EA,4511338055311,USD,3
CMIN-C0,Copic Ink,CMIN-C0,INK 12ML C0 COOL GRAY 0,EA,4511338055328,USD,3
CMIN-C1,Copic Ink,CMIN-C1,INK 12ML C1 COOL GRAY 1,EA,4511338055335,USD,3
CMIN-C2,Copic Ink,CMIN-C2,INK 12ML C2 COOL GRAY 2,EA,4511338055342,USD,3
CMIN-C3,Copic Ink,CMIN-C3,INK 12ML C3 COOL GRAY 3,EA,4511338055359,USD,3
CMIN-C4,Copic Ink,CMIN-C4,INK 12ML C4 COOL GRAY 4,EA,4511338055366,USD,3
CMIN-C5,Copic Ink,CMIN-C5,INK 12ML C5 COOL GRAY 5,EA,4511338055373,USD,3
CMIN-C6,Copic Ink,CMIN-C6,INK 12ML C6 COOL GRAY 6,EA,4511338055380,USD,3
CMIN-C7,Copic Ink,CMIN-C7,INK 12ML C7 COOL GRAY 7,EA,4511338055397,USD,3
CMIN-C8,Copic Ink,CMIN-C8,INK 12ML C8 COOL GRAY 8,EA,4511338055403,USD,3
CMIN-C9,Copic Ink,CMIN-C9,INK 12ML C9 COOL GRAY 9,EA,4511338055410,USD,3
CMIN-C10,Copic Ink,CMIN-C10,INK 12ML C10 COOL GRAY 10,EA,4511338055427,USD,3
CMIN-N0,Copic Ink,CMIN-N0,INK 12ML N0 NEUTRAL GRAY 0,EA,4511338055434,USD,3
CMIN-N1,Copic Ink,CMIN-N1,INK 12ML N1 NEUTRAL GRAY 1,EA,4511338055441,USD,3
CMIN-N2,Copic Ink,CMIN-N2,INK 12ML N2 NEUTRAL GRAY 2,EA,4511338055458,USD,3
CMIN-N3,Copic Ink,CMIN-N3,INK 12ML N3 NEUTRAL GRAY 3,EA,4511338055465,USD,3
CMIN-N4,Copic Ink,CMIN-N4,INK 12ML N4 NEUTRAL GRAY 4,EA,4511338055472,USD,3
CMIN-N5,Copic Ink,CMIN-N5,INK 12ML N5 NEUTRAL GRAY 5,EA,4511338055489,USD,3
CMIN-N6,Copic Ink,CMIN-N6,INK 12ML N6 NEUTRAL GRAY 6,EA,4511338055496,USD,3
CMIN-N7,Copic Ink,CMIN-N7,INK 12ML N7 NEUTRAL GRAY 7,EA,4511338055502,USD,3
CMIN-N8,Copic Ink,CMIN-N8,INK 12ML N8 NEUTRAL GRAY 8,EA,4511338055519,USD,3
CMIN-N9,Copic Ink,CMIN-N9,INK 12ML N9 NEUTRAL GRAY 9,EA,4511338055526,USD,3
CMIN-N10,Copic Ink,CMIN-N10,INK 12ML N10 NUTRL GRAY 10,EA,4511338055533,USD,3
CMIN-T0,Copic Ink,CMIN-T0,INK 12ML T0 TONER GRAY 0,EA,4511338055540,USD,3
CMIN-T1,Copic Ink,CMIN-T1,INK 12ML T1 TONER GRAY 1,EA,4511338055557,USD,3
CMIN-T2,Copic Ink,CMIN-T2,INK 12ML T2 TONER GRAY 2,EA,4511338055564,USD,3
CMIN-T3,Copic Ink,CMIN-T3,INK 12ML T3 TONER GRAY 3,EA,4511338055571,USD,3
CMIN-T4,Copic Ink,CMIN-T4,INK 12ML T4 TONER GRAY 4,EA,4511338055588,USD,3
CMIN-T5,Copic Ink,CMIN-T5,INK 12ML T5 TONER GRAY 5,EA,4511338055595,USD,3
CMIN-T6,Copic Ink,CMIN-T6,INK 12ML T6 TONER GRAY 6,EA,4511338055601,USD,3
CMIN-T7,Copic Ink,CMIN-T7,INK 12ML T7 TONER GRAY 7,EA,4511338055618,USD,3
CMIN-T8,Copic Ink,CMIN-T8,INK 12ML T8 TONER GRAY 8,EA,4511338055625,USD,3
CMIN-T9,Copic Ink,CMIN-T9,INK 12ML T9 TONER GRAY 9,EA,4511338055632,USD,3
CMIN-T10,Copic Ink,CMIN-T10,INK 12ML T10 TONER GRAY 10,EA,4511338055649,USD,3
CMIN-W00,Copic Ink,CMIN-W00,INK 12ML W00 WARM GRAY 00,EA,4511338055656,USD,3
CMIN-W0,Copic Ink,CMIN-W0,INK 12ML W0 WARM GRAY 0,EA,4511338055663,USD,3
CMIN-W1,Copic Ink,CMIN-W1,INK 12ML W1 WARM GRAY 1,EA,4511338055670,USD,3
CMIN-W2,Copic Ink,CMIN-W2,INK 12ML W2 WARM GRAY 2,EA,4511338055687,USD,3
CMIN-W3,Copic Ink,CMIN-W3,INK 12ML W3 WARM GRAY 3,EA,4511338055694,USD,3
